type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
9,2020-12-28 12:11:15+0000,888,0.76045626,0.06748094,3389.0,0.26198757,83.0
16,2020-12-28 10:58:29+0000,3870,0.0,1.8000001,0.0,0.0,209.0
9,2020-12-28 10:37:44+0000,807,0.8305648,0.07727378,3448.0,0.2337023,95.0
9,2020-12-26 11:25:42+0000,7870,2.6595745,0.064156026,23093.0,0.34074548,503.0
9,2020-12-24 14:41:56+0000,929,0.6844627,0.06447869,3395.0,0.27363232,77.0
16,2020-12-24 13:08:12+0000,4497,0.0,1.8000001,0.0,0.0,235.0
9,2020-12-24 12:47:33+0000,805,0.77101,0.0814664,3461.0,0.23227948,67.0
9,2020-12-24 01:07:28+0000,2390,2.5641026,0.07652866,10718.0,0.22289096,182.0
9,2020-12-23 21:50:36+0000,1726,1.6666666,0.109015584,7610.0,0.22666635,130.0
16,2020-12-23 20:46:16+0000,3593,0.0,1.8000001,0.0,0.0,213.0
9,2020-12-23 20:26:36+0000,756,1.3003901,0.06471235,3476.0,0.21743675,69.0
9,2020-12-19 16:25:00+0000,986,0.805153,0.068455644,3462.0,0.28444684,86.0
16,2020-12-19 15:16:47+0000,3529,0.0,1.8000001,0.0,0.0,151.0
9,2020-12-19 14:53:43+0000,741,1.3642565,0.059605412,3443.0,0.21487117,110.0
9,2020-12-19 02:02:21+0000,2281,1.4306152,0.069357745,10610.0,0.21487872,226.0
9,2020-12-18 21:08:33+0000,3439,3.030303,0.10986596,8010.0,0.42916578,426.0
16,2020-12-18 19:54:41+0000,3430,0.0,1.8000001,0.0,0.0,225.0
9,2020-12-18 19:33:49+0000,691,1.0277492,0.07289692,3547.0,0.19450143,58.0
9,2020-12-15 12:07:09+0000,950,0.9293681,0.07261109,3433.0,0.27640578,82.0
16,2020-12-15 10:55:26+0000,4004,0.0,1.8000001,0.0,0.0,203.0
9,2020-12-15 10:29:46+0000,720,1.1025358,0.056847252,3456.0,0.20833331,50.0
9,2020-12-14 12:17:49+0000,968,2.7777777,0.07110859,3613.0,0.26761296,135.0
16,2020-12-14 11:07:19+0000,4017,0.0,1.8000001,0.0,0.0,252.0
9,2020-12-14 10:51:10+0000,667,1.1312218,0.07840677,3439.0,0.19391136,67.0
9,2020-12-12 13:41:09+0000,941,1.4925373,0.070497,3408.0,0.27576008,60.0
16,2020-12-12 12:33:55+0000,3883,0.0,1.8000001,0.0,0.0,200.0
9,2020-12-12 12:15:57+0000,658,0.8635579,0.059837244,3526.0,0.18630932,78.0
9,2020-12-11 23:52:52+0000,2292,1.0638298,0.07269026,10805.0,0.2120269,236.0
9,2020-12-11 20:37:49+0000,1186,1.4E-45,3.4028235E38,1051.0,1.1284491,1.0
9,2020-12-11 19:56:19+0000,1231,3.7313433,0.06125199,6760.0,0.1821006,88.0
9,2020-12-11 12:18:11+0000,1208,0.6289308,0.1675884,3460.0,0.34912774,76.0
16,2020-12-11 11:11:20+0000,4106,0.0,1.8000001,0.0,0.0,266.0
9,2020-12-11 10:52:15+0000,724,0.47460842,0.15455951,124.0,5.8010244,65.0
16,2020-12-09 12:57:08+0000,3918,0.0,1.8000001,0.0,0.0,193.0
9,2020-12-08 13:03:29+0000,1186,0.5561735,0.14046916,5341.0,0.2218426,87.0
16,2020-12-08 11:49:03+0000,3539,0.0,1.8000001,0.0,0.0,183.0
9,2020-12-08 11:27:50+0000,787,0.43365136,0.18677624,3476.0,0.22608991,57.0
9,2020-12-06 01:35:04+0000,2562,1.4E-45,3.4028235E38,11646.0,0.21997656,356.0
9,2020-12-05 20:55:51+0000,1657,0.49776006,0.17519271,7823.0,0.21181132,126.0
16,2020-12-05 19:51:40+0000,3764,0.0,1.8000001,0.0,0.0,174.0
9,2020-12-05 19:34:03+0000,758,0.25627884,0.076057196,3497.0,0.21673784,59.0
9,2020-12-04 12:04:40+0000,1265,1.2180269,0.121713735,4529.0,0.27908567,73.0
